やろう	野郎	n, pn	guy, fellow, chap, buddy,bastard, asshole, arsehole, son of a bitch	No way!!	ケッ……！！あの野郎が金ももらわねえでいなくなるわけねえだろ！！
とまる	止まる	v5r, vi	to stop (moving), to come to a stop,to stop (doing, working, being supplied), to come to a halt, to cease, to be stopped, to be suspended,to alight, to perch on	if you knock out Midgar's power, then all of its computers and signals are going to be knocked out, too.	ミッドガルの電力がマヒしちゃったらコンピューターとか信号とかいろいろ止まっちゃうじゃない
たて	縦	n	the vertical, height,front-to-back, length,north-to-south,vertical (relationship), hierarchy,(weaving) warp	Financially there must've been about a billion gil worth of damage.	経ざい的損失は、ん～～１０億ギルはくだらないし
そんしつ	損失	n	loss (of assets, profit, etc.)	Financially there must've been about a billion gil worth of damage.	経ざい的損失は、ん～～１０億ギルはくだらないし
たくさん	沢山	n-suf	a lot, lots, plenty, many, a large number, much, a great deal, a good deal,enough, sufficient,enough, too many, too much	An' that ain't all!! A lotta innocent people got killed, too!	それに！！たくさんの罪なき人々が死んだと思うのよ
つみ	罪	n, adj-na	crime, sin, wrongdoing, indiscretion,penalty, sentence, punishment,fault, responsibility, culpability,thoughtlessness, lack of consideration	An' that ain't all!! A lotta innocent people got killed, too!	それに！！たくさんの罪なき人々が死んだと思うのよ
ひとびと	人々	n, adj-no	each person, people, men and women, everybody	An' that ain't all!! A lotta innocent people got killed, too!	それに！！たくさんの罪なき人々が死んだと思うのよ
まよなか	真夜中	n-adv, n-t	dead of night, midnight	If the explosion had been in the middle of the night, that woulda been one thing. At least the people coulda gone in their sleep.	爆破が真夜中だったから、まだいいわ。眠ってた人はそのまま目が覚めないだけね
ねむる	眠る	v5r, vi	to sleep (not necessarily lying down),to die,to lie idle (e.g. of resources), to be dormant, to be unused,to close one's eyes	If the explosion had been in the middle of the night, that woulda been one thing. At least the people coulda gone in their sleep.	爆破が真夜中だったから、まだいいわ。眠ってた人はそのまま目が覚めないだけね
そのまま	其の儘	adv	without change, as it is, as it was,just like, extremely similar,immediately, just after, without a pause	If the explosion had been in the middle of the night, that woulda been one thing. At least the people coulda gone in their sleep.	爆破が真夜中だったから、まだいいわ。眠ってた人はそのまま目が覚めないだけね
さめる	覚める	v1, vi	to wake, to wake up,to become sober, to sober up, to regain consciousness (e.g. after anaesthesia),to come to one's senses, to be disillusioned	If the explosion had been in the middle of the night, that woulda been one thing. At least the people coulda gone in their sleep.	爆破が真夜中だったから、まだいいわ。眠ってた人はそのまま目が覚めないだけね
とにかく	兎に角	adv	anyhow, at any rate, anyway, somehow or other, generally speaking, in any case, at least	This Mako explosion has really sent Midgar into a fit.	とにかく、魔晄炉の爆発でミッドガルは大混乱らしいの
こんらん	混乱	n, vs	disorder, chaos, confusion, mayhem	This Mako explosion has really sent Midgar into a fit.	とにかく、魔晄炉の爆発でミッドガルは大混乱らしいの
そ	祖	n	ancestor, forefather, progenitor	Oh, well excuse ME!	あ、そ！
かつ	勝つ	v5t, vi	to win, to gain victory	Explosions! Explosions! Oh Man! AVALANCHE is so cool!	爆発！！　爆発！！スゲッー！アバランチ、かっくいー！
ちち	父	n	father	Hey!! Heh heh heh… Say, you're kinda cute. Cutie pie…	あっ！！ウヘヘヘヘ……やっぱ、かわいいなぁ。マイラブリーエンジェルちゃん…
のむ	飲む	v5m, vt	to drink, to gulp, to swallow, to take (medicine),to smoke (tobacco),to engulf, to overwhelm,to keep down, to suppress,to accept (e.g. demand, condition),to make light of, to conceal	I wasn't even done with my drink. I didn't even pay my bill…	酒、飲みかけだったのによ。あっ、かんじょうもまだだ…
かんじょう	感情	n, adj-no	emotion, feeling, feelings, sentiment	I wasn't even done with my drink. I didn't even pay my bill…	酒、飲みかけだったのによ。あっ、かんじょうもまだだ…
いじょう	異常	n, adj-na	strangeness, abnormality, disorder	All's quiet!! Shh, I'm spying now!	異常なし！！ただいま、スパイ中！
スパイ		n, vs	spy	All's quiet!! Shh, I'm spying now!	異常なし！！ただいま、スパイ中！
ほうこく	報告	n, vs	report, information	OH!! There's something!! DANGER!!  ALERT!!	ああ！！なんか、でてきました！！報告～！！　報告～！！
あなた	貴方	pn	you (referring to someone of equal or lower status),dear (what a wife calls a husband)	Did you hear?	あなた、知ってる？
さかば	酒場	n	bar, pub, tavern	About that little girl named TIFA and that bar called '7th Heaven'.	あのTIFAちゃんのお店のことよ。『セブンスヘブン』って酒場
おせっかい	お節介	n	meddling, meddlesomeness, nosiness, interference, officiousness,meddler, buttinsky, busybody	I'm not only informed, I'm kinda nosey too. Anyhow, I got the scoop.	私は事情通のうえに、おせっかいだからいろいろ知ってるのよね
めいぶつ	名物	n	famous product, special product, speciality, specialty	That BARRET and three of his henchmen are like this sometimes.	あの酒場の名物BARRETと手下の３人。ときどき、こうなのよ
てした	手下	n	subordinate, underling, henchman, minion	That BARRET and three of his henchmen are like this sometimes.	あの酒場の名物BARRETと手下の３人。ときどき、こうなのよ
ときどき	時々	adv, n, adj-no	sometimes, at times	That BARRET and three of his henchmen are like this sometimes.	あの酒場の名物BARRETと手下の３人。ときどき、こうなのよ
こう	斯う	int	in this way, thus, such,uh...	That BARRET and three of his henchmen are like this sometimes.	あの酒場の名物BARRETと手下の３人。ときどき、こうなのよ
ごちゃごちゃ		adv	messy, confused, chaotic, disorderly, mixed-up, jumbled up,complaining about various things	Suddenly, they throw out a customer and start talking trash to him. It's strange, if you ask me. And that place always smells like gun powder.	突然、お客を追い出してゴチャゴチャやってるの。なんか、あやしいのよ。火薬のにおいとかするのよね
かやく	火薬	n	gunpowder, powder	Suddenly, they throw out a customer and start talking trash to him. It's strange, if you ask me. And that place always smells like gun powder.	突然、お客を追い出してゴチャゴチャやってるの。なんか、あやしいのよ。火薬のにおいとかするのよね
におい	匂い	n	odour, odor, scent, smell, stench,aura, whiff, smacks of ..., sense, flavour, flavor	Suddenly, they throw out a customer and start talking trash to him. It's strange, if you ask me. And that place always smells like gun powder.	突然、お客を追い出してゴチャゴチャやってるの。なんか、あやしいのよ。火薬のにおいとかするのよね
いける	生ける	adj-f	to arrange (flowers), to plant,living, live	It's dangerous, I tell you. They must be doing terrible things in there.	危ないわ。きっと、いけないことをしてるにちがいないわ
ちがい	違い	n	difference, distinction, discrepancy,mistake, error	It's dangerous, I tell you. They must be doing terrible things in there.	危ないわ。きっと、いけないことをしてるにちがいないわ
クール		n	cool (temperature, color, etc.),cool (i.e. calm and collected),cool (i.e. fashionable, attractive, etc.),course (of medical treatment),season (series) of a television program (usu. 13 installments over a 3-month period)	Oh really? Well, aren't you a cool one!	あ、そ！あなたってクールなのね
